star_id,star_name,ra_deg,dec_deg,vmag,spectral_type,catalog_source,umag,bmag,rmag,imag,jmag,hmag,kmag
HIP 3,HIP 3,0.00500795,38.85928608,6.610000133514404,B9,Hipparcos,,6.582750153541565,,,6.521999835968018,6.561999797821045,6.508999824523926
HIP 11,HIP 11,0.03729695,46.94000154,7.340000152587891,A2,Hipparcos,,7.433700060844421,,,7.065999984741211,7.0370001792907715,7.019000053405762
HIP 14,HIP 14,0.04827189,-0.36042119,7.25,K0,Hipparcos,,8.599600219726563,,,5.26800012588501,4.73799991607666,4.508999824523926
HIP 19,HIP 19,0.05331696,38.30408636,6.53000020980835,G5,Hipparcos,,7.572649884223938,,,5.000999927520752,4.565000057220459,4.334000110626221
HIP 25,HIP 25,0.07936537,-44.29029741,6.28000020980835,G3IV,Hipparcos,,7.108549928665161,,,4.860000133514404,4.321000099182129,4.372000217437744
HIP 34,HIP 34,0.09946973,26.91823821,6.429999828338623,F7.5IV-V,Hipparcos,,6.957649993896484,,,5.452000141143799,5.2779998779296875,5.184000015258789
HIP 39,HIP 39,0.11186148,-16.6969302,7.460000038146973,F3V,Hipparcos,,7.912050056457519,,,6.624000072479248,6.493000030517578,6.376999855041504
HIP 43,HIP 43,0.129089,59.55973786,6.179999828338623,G9III-IV,Hipparcos,,7.315950179100037,,,4.514999866485596,3.9719998836517334,3.7890000343322754
HIP 48,HIP 48,0.13522264,-40.69044664,7.309999942779541,K0/K1III,Hipparcos,,8.606749796867371,,,5.377999782562256,4.85699987411499,4.6570000648498535
HIP 50,HIP 50,0.14287059,-53.09766277,6.489999771118164,G1IV,Hipparcos,,7.1544500350952145,,,5.408999919891357,5.191999912261963,5.054999828338623
HIP 55,HIP 55,0.15783323,-66.68310336,7.400000095367432,G2IV/V,Hipparcos,,7.86125009059906,,,6.5269999504089355,6.301000118255615,6.210000038146973
HIP 58,HIP 58,0.17376341,62.17600484,7.050000190734863,G0,Hipparcos,,7.581749987602234,,,6.072000026702881,5.88100004196167,5.808000087738037
HIP 63,HIP 63,0.1817495,45.25333305,6.360000133514404,B9p SiEu,Hipparcos,,6.299549913406372,,,6.4070000648498535,6.50600004196167,6.511000156402588
