observing_night,slot_start_local,slot_end_local,slot_start_utc,slot_end_utc,sector,target_type,mag_bin_label,star_name,star_id,ra_deg,dec_deg,vmag,umag,bmag,rmag,imag,jmag,hmag,kmag,alt_min_deg,alt_mean_deg,az_mean_deg,visible_full_slot,repeated_from_previous_slot,hotspot_distance_deg,ranking_score,notes,catalog_source
2026-04-02,2026-04-02 21:00,2026-04-02 23:00,2026-04-02 19:00,2026-04-02 21:00,East,LPC,LPC,HIP 42294,HIP 42294,129.34208,28.29452,6.63,,7.524,,,5.095,4.702,4.591,63.54,76.73,92.54,YES,NO,,1075.9711,,Hipparcos
2026-04-02,2026-04-02 21:00,2026-04-02 23:00,2026-04-02 19:00,2026-04-02 21:00,East,LPC,LPC,HIP 43129,HIP 43129,131.78046,28.16194,6.6,,7.301,,,5.42,5.147,5.07,61.39,74.59,87.3,YES,NO,,1073.7765,,Hipparcos
2026-04-02,2026-04-02 21:00,2026-04-02 23:00,2026-04-02 19:00,2026-04-02 21:00,East,NGS,NGS_BRIGHT,Pollux,HIP 37826,116.33068,28.02631,1.16,,2.285,,,,,,74.92,82.7,169.97,YES,NO,,1058.7107,,Hipparcos
2026-04-02,2026-04-02 21:00,2026-04-02 23:00,2026-04-02 19:00,2026-04-02 21:00,East,NGS,NGS_FAINT,HIP 43103,HIP 43103,131.67431,28.76001,4.03,,5.113,,,2.368,1.941,1.831,61.57,74.72,83.44,YES,NO,,1072.7477,,Hipparcos
2026-04-02,2026-04-02 21:00,2026-04-02 23:00,2026-04-02 19:00,2026-04-02 21:00,North,LPC,LPC,HIP 36896,HIP 36896,113.78674,30.96091,5.34,,6.46,,,3.554,3.096,3.028,76.28,82.24,191.7,YES,NO,,1031.7468,,Hipparcos
2026-04-02,2026-04-02 21:00,2026-04-02 23:00,2026-04-02 19:00,2026-04-02 21:00,North,LPC,LPC,HIP 37339,HIP 37339,114.97541,32.00982,6.16,,6.542,,,5.404,5.287,5.216,75.89,81.75,169.36,YES,NO,,1030.9441,,Hipparcos
2026-04-02,2026-04-02 21:00,2026-04-02 23:00,2026-04-02 19:00,2026-04-02 21:00,North,NGS,NGS_BRIGHT,Castor,HIP 36850,113.65002,31.88864,1.58,,,,,1.33,1.292,1.229,76.03,81.81,191.22,YES,NO,,1031.1798,,Hipparcos
2026-04-02,2026-04-02 21:00,2026-04-02 23:00,2026-04-02 19:00,2026-04-02 21:00,North,NGS,NGS_FAINT,HIP 37265,HIP 37265,114.79149,34.58463,4.89,,5.324,,,4.068,3.917,3.835,75.33,80.24,168.26,YES,NO,,1029.7665,,Hipparcos
2026-04-02,2026-04-02 21:00,2026-04-02 23:00,2026-04-02 19:00,2026-04-02 21:00,South,LPC,LPC,HIP 37921,HIP 37921,116.56758,10.76831,5.25,,5.266,,,5.196,5.22,5.127,66.07,70.31,173.87,YES,NO,1.35,1163.4475,,Hipparcos
2026-04-02,2026-04-02 21:00,2026-04-02 23:00,2026-04-02 19:00,2026-04-02 21:00,South,LPC,LPC,HIP 38196,HIP 38196,117.38466,12.8143,6.42,,7.501,,,5.046,4.536,4.128,67.04,72.07,171.01,YES,NO,2.09,1160.9376,,Hipparcos
2026-04-02,2026-04-02 21:00,2026-04-02 23:00,2026-04-02 19:00,2026-04-02 21:00,South,NGS,NGS_BRIGHT,Procyon,HIP 37279,114.82724,5.22751,0.4,,,,,,,,62.56,65.25,178.85,YES,NO,5.81,1138.8722,,Hipparcos
2026-04-02,2026-04-02 21:00,2026-04-02 23:00,2026-04-02 19:00,2026-04-02 21:00,South,NGS,NGS_FAINT,HIP 37908,HIP 37908,116.53122,18.51017,4.89,,6.513,,,2.065,1.277,1.238,71.35,77.04,171.73,YES,NO,7.06,1146.3294,,Hipparcos
2026-04-02,2026-04-02 21:00,2026-04-02 23:00,2026-04-02 19:00,2026-04-02 21:00,South,NGS,NGS_MEDIUM,HIP 36188,HIP 36188,111.7878,8.28941,2.89,,2.807,,,3.061,3.109,3.101,63.99,68.02,186.27,YES,NO,6.13,1138.22,,Hipparcos
2026-04-02,2026-04-02 21:00,2026-04-02 23:00,2026-04-02 19:00,2026-04-02 21:00,West,LPC,LPC,HIP 32311,HIP 32311,101.18944,28.97099,5.42,,7.061,,,2.626,1.898,1.698,65.38,78.23,265.42,YES,NO,,1076.8554,,Hipparcos
2026-04-02,2026-04-02 21:00,2026-04-02 23:00,2026-04-02 19:00,2026-04-02 21:00,West,LPC,LPC,HIP 31434,HIP 31434,98.80026,28.02234,5.26,,5.256,,,5.151,5.21,5.147,63.18,76.38,268.97,YES,NO,,1076.0724,,Hipparcos
2026-04-02,2026-04-02 22:00,2026-04-03 00:00,2026-04-02 20:00,2026-04-02 22:00,East,LPC,LPC,HIP 46891,HIP 46891,143.32633,28.36802,6.5,,6.647,,,6.17,6.148,6.118,64.48,77.54,100.66,YES,NO,,1074.3436,,Hipparcos
2026-04-02,2026-04-02 22:00,2026-04-03 00:00,2026-04-02 20:00,2026-04-02 22:00,East,LPC,LPC,HIP 47173,HIP 47173,144.20407,27.75854,6.96,,8.277,,,5.185,4.493,4.293,63.63,76.79,98.46,YES,NO,,1074.2496,,Hipparcos
2026-04-02,2026-04-02 22:00,2026-04-03 00:00,2026-04-02 20:00,2026-04-02 22:00,East,LPC,LPC,HIP 43129,HIP 43129,131.78046,28.16194,6.6,,7.301,,,5.42,5.147,5.07,74.58,82.68,166.32,YES,NO,,1073.7765,carried_over,Hipparcos
2026-04-02,2026-04-02 22:00,2026-04-03 00:00,2026-04-02 20:00,2026-04-02 22:00,East,NGS,NGS_FAINT,HIP 46146,HIP 46146,141.16366,26.18244,4.47,,5.849,,,2.464,1.765,1.688,66.03,78.49,119.71,YES,NO,,1069.5738,,Hipparcos
2026-04-02,2026-04-02 22:00,2026-04-03 00:00,2026-04-02 20:00,2026-04-02 22:00,East,NGS,NGS_MEDIUM,HIP 48455,HIP 48455,148.19149,26.00708,3.88,,5.263,,,1.974,1.327,1.364,59.82,72.99,97.29,YES,NO,,1070.7991,,Hipparcos
2026-04-02,2026-04-02 22:00,2026-04-03 00:00,2026-04-02 20:00,2026-04-02 22:00,North,LPC,LPC,HIP 42365,HIP 42365,129.57916,32.80203,5.96,,7.19,,,4.438,3.708,3.616,76.09,81.36,167.35,YES,NO,,1031.1551,,Hipparcos
2026-04-02,2026-04-02 22:00,2026-04-03 00:00,2026-04-02 20:00,2026-04-02 22:00,North,LPC,LPC,HIP 42472,HIP 42472,129.88279,32.51566,6.71,,8.344,,,4.543,3.7,3.574,75.91,81.51,168.66,YES,NO,,1030.9117,,Hipparcos
2026-04-02,2026-04-02 22:00,2026-04-03 00:00,2026-04-02 20:00,2026-04-02 22:00,North,NGS,NGS_FAINT,HIP 41075,HIP 41075,125.70888,43.18837,4.25,,6.009,,,1.263,0.453,0.375,68.95,73.24,213.47,YES,NO,,1029.2793,,Hipparcos
2026-04-02,2026-04-02 22:00,2026-04-03 00:00,2026-04-02 20:00,2026-04-02 22:00,South,LPC,LPC,HIP 43245,HIP 43245,132.15432,10.43301,6.91,,8.663,,,3.419,2.558,2.276,65.45,69.92,172.51,YES,NO,0.86,1164.952,,Hipparcos
2026-04-02,2026-04-02 22:00,2026-04-03 00:00,2026-04-02 20:00,2026-04-02 22:00,South,LPC,LPC,HIP 43851,HIP 43851,133.98148,11.62606,5.44,,7.105,,,3.15,2.431,2.252,65.1,70.74,167.14,YES,NO,1.21,1162.5043,,Hipparcos
